,board,heuristic,likelihood_linear,likelihoods_block,likelihoods_block_dens,likelihoods_density,likelihoods_int_dens,likelihoods_interaction,likelihoods_linear_dens,userid
0,6_hard_full,density,-4.51167764427,-4.39223112725,-4.2306807995,-4.00529746033,-4.24776440995,-4.50413500017,-4.21751969581,11d4bf94
1,6_hard_full,interaction,-2.09434752534,-2.29741136938,-2.63865568399,-2.57222593149,-2.49597670909,-2.0602823196,-2.51740190322,14b4c043
2,6_hard_full,blocking,-2.06676615414,-1.82315676433,-1.82443112319,-2.02167668716,-1.92565668654,-1.97906988293,-2.06215764183,14c5dc72
3,6_hard_full,interaction_dens,-1.57127746501,-1.48632251785,-1.47573573715,-1.7721135031,-1.46786431027,-1.48943376605,-1.57369489514,17b4c1ea
4,6_hard_full,linear,-2.03990194596,-2.24119794475,-2.44081390886,-2.33678794808,-2.40204499335,-2.0713107643,-2.42216077492,17e120dd
5,6_hard_full,blocking,-3.17722683168,-2.53151893887,-2.53151893887,-3.06168163869,-2.97095218605,-2.97095218605,-3.17722683168,18dac9ef
6,6_hard_full,density,-1.81366966661,-1.83279398438,-1.92685597933,-1.79941048626,-1.82259080923,-1.83882011022,-1.84061328561,20bfd7bd
7,6_hard_full,linear,-2.96897523509,-3.1557608021,-3.58965542575,-3.79538141956,-3.56832587483,-3.07302924874,-3.5671634361,22dac859
8,6_hard_full,blocking_dens,-2.27592790392,-2.21022288322,-2.05248939425,-2.3260222276,-2.13211606135,-2.24254197707,-2.2446260547,24a5e25a
9,6_hard_full,linear_dens,-2.65617370081,-3.05631660328,-2.38067150378,-2.57466009821,-2.28747198013,-2.9091580513,-2.27552334719,24b61c03
10,6_hard_full,blocking,-2.42014974729,-2.23672742382,-2.36814295009,-2.54965397608,-2.48264439184,-2.34077815483,-2.58750794609,24f4c091
11,6_hard_full,blocking,-2.94458818127,-1.50703546404,-1.50703546404,-2.78501124224,-2.15814417831,-2.15814417831,-2.94458818127,25a611ff
12,6_hard_full,blocking_dens,-5.44267105867,-5.68456529358,-5.33363541386,-5.4849613984,-5.47144054496,-5.76545601769,-5.33584731441,25b60fb4
13,6_hard_full,density,-1.77309216214,-1.82840219325,-1.58373319779,-1.47570814304,-1.74033892313,-1.93593512261,-1.69783851461,25c4c0ab
14,6_hard_full,interaction,-1.61681307624,-1.44805292304,-1.51049529816,-1.81399084338,-1.55805651384,-1.44654134274,-1.7166644359,26dbf6e9
15,6_hard_full,blocking,-3.07373528943,-2.9528784833,-3.01520629046,-3.00571193863,-3.06965274611,-3.06061659323,-3.16518838231,31e63b91
16,6_hard_full,blocking_dens,-2.2130705264,-2.10154814464,-2.00400144592,-2.06670941714,-2.08745472535,-2.16691793315,-2.16079212557,32ebf2e8
17,6_hard_full,interaction,-2.21786166589,-2.53469349609,-2.53469349609,-2.31500761299,-2.20041504733,-2.20041504733,-2.21786166589,37f60bbc
18,6_hard_full,blocking,-4.01902594253,-3.58016575897,-3.58016575897,-4.01400981946,-3.90350598064,-3.90350598064,-4.01902594253,37f61258
19,6_hard_full,density,-2.19713476456,-2.02368209756,-1.82361878565,-1.80237553124,-2.06584023924,-2.20978505275,-2.11316717975,38ebbf94
20,6_hard_full,interaction_dens,-1.77733922105,-2.10437080978,-1.93072222607,-2.27338541866,-1.76692498115,-1.83579181021,-1.80904351398,3af4bfbb
21,6_hard_full,blocking_dens,-1.61441733327,-1.34022765007,-1.3135978026,-1.75701929504,-1.41157205135,-1.38601859832,-1.62810308983,3bb613b2
22,6_hard_full,interaction,-1.47127358464,-1.28530141947,-1.34107145421,-1.72349767742,-1.39229122494,-1.28316828321,-1.56812727215,3cd60baf
23,6_hard_full,blocking_dens,-2.12958381659,-1.85076014672,-1.79011066142,-2.11789424412,-1.94524941789,-2.0235418992,-2.06527156512,3df11bae
24,6_hard_full,blocking,-2.94458818127,-1.50703546404,-1.50703546404,-2.78501124224,-2.15814417831,-2.15814417831,-2.94458818127,3ed61f8d
25,6_hard_full,blocking_dens,-2.14655867432,-1.93443211475,-1.74992307986,-2.15193408161,-1.86029614057,-2.01718775599,-2.03161123985,43c60cd9
26,6_hard_full,interaction,-2.17991796812,-2.41377765527,-3.17641233885,-3.14182071286,-3.04136680405,-2.17031646788,-3.06950435198,44a4fa14
27,6_hard_full,blocking_dens,-2.31097993564,-2.10185115742,-2.08561450317,-2.36062657693,-2.19925779449,-2.18959189809,-2.33369742494,47f614be
28,6_hard_full,blocking,-1.97209207999,-1.43307371742,-1.43557533137,-1.84859909917,-1.73741051894,-1.72751402673,-1.98209049173,49e6113d
29,6_hard_full,linear,-2.37766360343,-2.89372034991,-2.48134795734,-2.74107001726,-2.38281348981,-2.62343109643,-2.40477042573,4af5df5d
30,6_hard_full,blocking_dens,-1.86707519252,-1.53960166222,-1.31766566166,-1.78211897007,-1.45527584872,-1.67565524402,-1.66301642587,4ed4c1d3
31,6_hard_full,blocking_dens,-1.58778202013,-1.08612366922,-0.64454617588,-1.33971442577,-0.845532798623,-1.28711029196,-1.14620452679,50c60ba6
32,6_hard_full,interaction,-2.09209969935,-2.22383811982,-2.4450071305,-2.61671750184,-2.39524572112,-2.07133955537,-2.47151572968,53c4c041
33,6_hard_full,blocking_dens,-1.49914435015,-1.22675045296,-1.11242250742,-1.58435221513,-1.20334391363,-1.28584656652,-1.409564095,54f4bf95
34,6_hard_full,blocking,-2.45070735524,-2.01943783464,-2.24441781891,-2.57680987239,-2.3850204117,-2.4197226553,-2.39168751558,55f5fe54
